codClase	fechaClase	duracionClase	estado	idEst_FK	idProf_FK
	2024-12-01 08:00:00	02:30:00	Asignado	1000000001	1100000001
	2024-12-02 10:00:00	03:00:00	Asignado	1000000002	1100000002
	2024-12-03 09:00:00	02:30:00	Asignado	1000000003	1100000003
	2024-12-04 11:00:00	03:00:00	Asignado	1000000004	1100000004
	2024-12-05 08:30:00	02:45:00	Asignado	1000000005	1100000005
	2024-12-06 10:00:00	02:30:00	Asignado	1000000006	1100000006
	2024-12-07 09:00:00	03:00:00	Asignado	1000000007	1100000007
	2024-12-08 11:00:00	03:00:00	Asignado	1000000008	1100000008
	2024-12-09 08:00:00	02:45:00	Asignado	1000000009	1100000009
	2024-12-10 10:00:00	03:00:00	Asignado	1000000010	1100000010
	2024-12-11 09:00:00	02:30:00	Asignado	1000000011	1100000011
	2024-12-12 11:00:00	03:00:00	Asignado	1000000012	1100000012
	2024-12-13 08:30:00	02:45:00	Asignado	1000000013	1100000013
	2024-12-14 10:00:00	02:30:00	Asignado	1000000014	1100000014
	2024-12-15 09:00:00	03:00:00	Asignado	1000000015	1100000015
	2024-12-16 11:00:00	02:30:00	Asignado	1000000016	1100000016
	2024-12-17 08:00:00	02:45:00	Asignado	1000000017	1100000017
	2024-12-18 10:00:00	03:00:00	Asignado	1000000018	1100000018
	2024-12-19 09:00:00	02:30:00	Asignado	1000000019	1100000019
	2024-12-20 11:00:00	03:00:00	Asignado	1000000020	1100000020
	2024-12-21 08:30:00	02:45:00	Asignado	1000000021	1100000021
	2024-12-22 10:00:00	02:30:00	Asignado	1000000022	1100000022
	2024-12-23 09:00:00	03:00:00	Asignado	1000000023	1100000023
	2024-12-24 11:00:00	03:00:00	Asignado	1000000024	1100000024
	2024-12-25 08:00:00	02:45:00	Asignado	1000000025	1100000025
	2024-12-26 10:00:00	02:30:00	Asignado	1000000026	1100000026
	2024-12-27 09:00:00	03:00:00	Asignado	1000000027	1100000027
	2024-12-28 11:00:00	02:30:00	Asignado	1000000028	1100000028
	2024-12-29 08:30:00	02:45:00	Asignado	1000000029	1100000029
	2024-12-30 10:00:00	03:00:00	Asignado	1000000030	1100000030
	2025-01-01 09:00:00	02:30:00	Asignado	1000000031	1100000031
	2025-01-02 11:00:00	03:00:00	Asignado	1000000032	1100000032
	2025-01-03 08:00:00	02:45:00	Asignado	1000000033	1100000033
	2025-01-04 10:00:00	02:30:00	Asignado	1000000034	1100000034
	2025-01-05 09:00:00	03:00:00	Asignado	1000000035	1100000035
	2025-01-06 11:00:00	03:00:00	Asignado	1000000036	1100000036
	2025-01-07 08:30:00	02:45:00	Asignado	1000000037	1100000037
	2025-01-08 10:00:00	02:30:00	Asignado	1000000038	1100000038
	2025-01-09 09:00:00	03:00:00	Asignado	1000000039	1100000039
	2025-01-10 11:00:00	02:30:00	Asignado	1000000040	1100000040
	2025-01-11 08:00:00	02:45:00	Asignado	1000000041	1100000041
	2025-01-12 10:00:00	03:00:00	Asignado	1000000042	1100000042
	2025-01-13 09:00:00	02:30:00	Asignado	1000000043	1100000043
	2025-01-14 11:00:00	03:00:00	Asignado	1000000044	1100000044
	2025-01-15 08:30:00	02:45:00	Asignado	1000000045	1100000045
	2025-01-16 10:00:00	02:30:00	Asignado	1000000046	1100000046
	2025-01-17 09:00:00	03:00:00	Asignado	1000000047	1100000047
	2025-01-18 11:00:00	02:30:00	Asignado	1000000048	1100000048
	2025-01-19 08:00:00	02:45:00	Asignado	1000000049	1100000049
	2025-01-20 10:00:00	03:00:00	Asignado	1000000050	1100000050
	2023-11-15 10:30:00	02:30:00	Asignado	1000000051	1100000001
	2023-12-02 08:00:00	02:45:00	Asignado	1000000052	1100000002
	2023-12-10 09:15:00	03:00:00	Asignado	1000000053	1100000003
	2023-12-17 11:00:00	02:30:00	Asignado	1000000054	1100000004
	2023-11-24 08:45:00	02:30:00	Asignado	1000000055	1100000005
	2023-11-29 09:30:00	03:00:00	Asignado	1000000056	1100000006
	2023-12-06 10:00:00	02:45:00	Asignado	1000000057	1100000007
	2023-12-14 09:00:00	03:00:00	Asignado	1000000058	1100000008
	2023-12-20 11:00:00	02:30:00	Asignado	1000000059	1100000009
	2023-12-24 10:30:00	02:45:00	Asignado	1000000060	1100000010
	2023-11-30 08:30:00	02:30:00	Asignado	1000000061	1100000011
	2023-12-05 09:00:00	03:00:00	Asignado	1000000062	1100000012
	2023-12-11 10:00:00	03:00:00	Asignado	1000000063	1100000013
	2023-12-16 08:15:00	02:30:00	Asignado	1000000064	1100000014
	2023-12-19 09:45:00	02:45:00	Asignado	1000000065	1100000015
	2023-11-28 11:00:00	02:30:00	Asignado	1000000066	1100000016
	2023-12-01 08:00:00	02:30:00	Asignado	1000000067	1100000017
	2023-12-09 10:15:00	03:00:00	Asignado	1000000068	1100000018
	2023-12-12 11:00:00	02:45:00	Asignado	1000000069	1100000019
	2023-12-21 09:30:00	02:30:00	Asignado	1000000070	1100000020
	2023-12-23 08:30:00	02:45:00	Asignado	1000000071	1100000021
	2023-12-27 10:00:00	02:30:00	Asignado	1000000072	1100000022
	2023-12-29 11:00:00	02:30:00	Asignado	1000000073	1100000023
	2024-01-03 08:00:00	03:00:00	Asignado	1000000074	1100000024
	2024-01-06 10:00:00	02:30:00	Asignado	1000000075	1100000025
	2024-01-09 11:00:00	02:30:00	Asignado	1000000076	1100000026
	2024-01-12 08:30:00	02:45:00	Asignado	1000000077	1100000027
	2024-01-15 09:00:00	02:30:00	Asignado	1000000078	1100000028
	2024-01-18 10:30:00	02:45:00	Asignado	1000000079	1100000029
	2024-01-21 09:30:00	02:30:00	Asignado	1000000080	1100000030
	2024-01-24 11:00:00	03:00:00	Asignado	1000000081	1100000031
	2024-01-27 08:45:00	02:30:00	Asignado	1000000082	1100000032
	2024-02-01 10:00:00	02:45:00	Asignado	1000000083	1100000033
	2024-02-04 08:00:00	02:30:00	Asignado	1000000084	1100000034
	2024-02-06 09:30:00	02:30:00	Asignado	1000000085	1100000035
	2024-02-09 10:00:00	02:45:00	Asignado	1000000086	1100000036
	2024-02-12 08:30:00	03:00:00	Asignado	1000000087	1100000037
	2024-02-15 11:00:00	03:00:00	Asignado	1000000088	1100000038
	2024-02-18 09:15:00	02:30:00	Asignado	1000000089	1100000039
	2024-02-21 10:30:00	02:45:00	Asignado	1000000090	1100000040
	2024-02-23 08:30:00	02:30:00	Asignado	1000000091	1100000041
	2024-02-26 09:00:00	02:30:00	Asignado	1000000092	1100000042
	2024-02-28 10:00:00	03:00:00	Asignado	1000000093	1100000043
	2024-03-02 08:00:00	02:45:00	Asignado	1000000094	1100000044
	2024-03-05 09:30:00	02:30:00	Asignado	1000000095	1100000045
	2024-03-07 11:00:00	02:30:00	Asignado	1000000096	1100000046
	2024-03-10 08:45:00	02:45:00	Asignado	1000000097	1100000047
	2024-03-12 09:00:00	03:00:00	Asignado	1000000098	1100000048
	2024-03-14 11:00:00	03:00:00	Asignado	1000000099	1100000049
	2024-03-17 08:30:00	02:30:00	Asignado	1000000100	1100000050
